family	group	width	height	cost_multiplier	stat_multiplier	mask	roles	functions
food/cannibal	0	5	2	1	1	11111/11111	bbbbb/xxxxb	ppppp/ppppp
food/cannibal	0	8	2	2	2	11111111/11111111	bbbbbbbb/xxxxxxxb	pppppppp/pppppppp
food/fish	0	2	2	6	2	11/11	xx/bb	ss/pp
food/fish	0	3	2	8	4	111/111	xxb/xxb	ssp/ssp
food/fish	0	4	2	10	6	1111/1111	xxxb/xxxb	sssp/sssp
food/fish	0	5	2	12	8	11111/11111	xxxxb/xxxxb	ssssp/ssssp
food/fish	0	6	2	14	10	111111/111111	xxxxxb/xxxxxb	sssssp/sssssp
food/fish	0	7	2	16	12	1111111/1111111	xxxxxxb/xxxxxxb	ssssssp/ssssssp
food/fish	0	8	2	18	14	11111111/11111111	xxxxxxxb/xxxxxxxb	sssssssp/sssssssp
food/fish	0	9	2	20	16	111111111/111111111	xxxxxxxxb/xxxxxxxxb	ssssssssp/ssssssssp
food/fish	0	10	2	22	18	1111111111/1111111111	xxxxxxxxxb/xxxxxxxxxb	sssssssssp/sssssssssp
food/fish	0	11	2	24	20	11111111111/11111111111	xxxxxxxxxxb/xxxxxxxxxxb	ssssssssssp/ssssssssssp
food/fish	1	1	1	1	1	1	b	p
food/fish	1	2	1	2	2	11	bb	pp
food/fish	1	3	1	3	3	111	bxb	pwp
food/fish	1	4	1	4	4	1111	bxbb	pwpp
food/fish	1	2	2	4	4	11/11	bx/bb	pw/pp
food/fish	1	3	2	6	6	111/111	bxb/bbb	pwp/ppp
food/fish	1	4	2	8	8	1111/1111	bxbb/bbbx	pwpp/pppw
food/fish	1	5	2	10	10	11111/11111	xbbbb/xbbxb	wpppp/wppwp
food/fish	1	6	2	12	12	111111/111111	xbbxbb/xbbbbb	wppwpp/wppppp
food/fish	1	7	2	14	14	1111111/1111111	xbbxbbx/xbbbbbb	wppwppw/wpppppp
food/hunter	0	3	1	1	1	111	xxb	ppp
food/hunter	0	3	2	2	2	111/111	xxb/xxb	ppp/ppp
food/hunter	1	1	1	1	1	1	b	p
food/hunter	1	2	1	2	2	11	bb	pp
food/hunter	1	3	1	3	3	111	bbb	ppp
food/hunter	1	4	1	4	4	1111	bbbb	pppp
food/hunter	1	5	1	5	5	11111	bbbbb	ppppp
food/hunter	1	2	2	4	4	11/11	bb/bb	pp/pp
food/hunter	1	3	2	6	6	111/111	bbb/bbb	ppp/ppp
food/hunter	1	4	2	8	8	1111/1111	bbbb/bbbb	pppp/pppp
food/hunter	1	5	2	10	10	11111/11111	bbbbb/bbbbb	ppppp/ppppp
food/orchard	0	4	4	1	1	1111/1111/1111/1111	pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp
food/orchard	1	4	4	1	1	1111/1111/1111/1111	pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp
food/orchard	1	4	7	2	2	1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	10	3	3	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	13	4	4	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	16	5	5	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	19	6	6	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	22	7	7	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/orchard	1	4	25	8	8	1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111/1111	pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp/pbbp/pbbp/pppp	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
food/pasture/constructor	0	2	1	2	2	11	pp	pp
food/pasture/constructor	0	3	1	3	3	111	ppp	ppp
food/pasture/constructor	0	4	1	4	4	1111	pppp	pppp
food/pasture/constructor	0	2	2	4	4	11/11	pp/pp	pp/pp
food/pasture/constructorindoor	0	3	1	1	1	111	xxx	ddd
